id,image,nom,prenom,email,genre,telephone,id_promotion,action
1,img1.png,elimane,nging,elimane@nging,M,777777777,1,
2,img1.png,seydina,mhd,moussa,M,777777777,1,
3,img1.png,pathe,pathe,pathe,M,777120777,2,1
4,img1.png,modou,modou,modou,M,777347977,2,
5,img1.png,andaw,andaw,andaw,M,777729777,2,1
6,img1.png,issa,issa,issa,M,777987777,3,
7,img1.png,modou,ndiaye,modou@gmail?com,M,777864799,3,
8,img1.png,modou,ndiaye,modou@gmail?com,M,777573799,3,1
9,img1.png,modou,ndiaye,modou@gmail?com,M,772387799,4,
10,img1.png,modou,ndiaye,modou@gmail?com,M,772387799,5,
11,img1.png,modou,ndiaye,modou@gmail?com,M,772387799,6,1
12,img1.png,modou,ndiaye,modou@gmail?com,M,772387799,6,
13,img1.png,modou,ndiaye,modou@gmail?com,M,772387799,6,
14,img1.png,Daouda,Diop,modou@gmail?com,M,772387799,1,
15,img1.png,Awa,ndiaye,awa@gmail?com,F,772387799,2,1
16,img1.png,Diuma,ndiaye,diou@gmail?com,F,772387799,2,1
17,img1.png,omar,ndiaye,omaru@gmail?com,M,772387799,4,1
19,img1.png,abou,sy,abou@gmail?com,M,772387799,3,
20,img1.png,saliou,diouf,sdiouf@gmail?com,M,772387799,1,
