id,matricule,nom,prenom,telephone,referenciel,duree,date,status,id_promotion
1,p7_devdat_2024_129,Sow,Fatou,771234567,dev_web,05:30,12-04-2024,present,1
2,p8_devdat_2024_130,Ba,Mamadou,778765432,data,07:15,2024-04-12,present,2
3,p9_devdat_2024_131,Diallo,Aïssatou,776543210,dev_web,06:00,2024-04-12,absent,2
4,p10_devdat_2024_132,Kane,Modou,770987654,data,05:45,2024-04-11,present,1
5,p11_devdat_2024_133,Thiam,Aïcha,779876543,data,06:30,2024-04-10,absent,6
6,p11_devdat_2024_133,Thiam,Aïcha,779876543,dev_web,06:30,2024-04-15,absent,3
7,p11_devdat_2024_138,Thiam,Aïcha,779876543,aws,06:30,2024-04-15,present,3
8,p11_devdat_2024_193,Thiam,Aïcha,779876543,aws,06:30,2024-04-15,absent,4
9,p11_devdat_2024_135,Thiam,Aïcha,779876543,hack,06:30,2024-04-15,present,5
10,p11_devdat_2024_113,Ndiaye,Modou,779876543,data,06:30,2024-04-14,present,4
11,p11_devdat_2024_134,Gning,Omar,779876543,hack,06:30,2024-04-14,absent,5
12,p11_devdat_2024_123,Dieng,Assane,779876543,data,06:30,2024-04-10,absent,5
13,p11_devdat_2024_183,Diop,Modou,779876543,data,06:30,2024-04-01,absent,5
14,p11_devdat_2024_193,Diagne,Issa,779876543,data,06:30,2024-04-15,present,6
15,p11_devdat_2024_173,Fall,Amy,779876543,data,08:30,2024-04-12,absent,6
16,p6_devdat_2024_173,Ndiaye,Mdou,779876543,data,08:30,2024-04-10,absent,6
17,p11_devdat_2024_125,Ndour,Awa,779876543,data,06:30,2024-04-10,absent,6
18,p11_devdat_2024_823,Diouf,Aliou,779876543,data,06:30,2024-04-15,present,1
19,p11_devdat_2024_193,Thiare,Marie,779876543,data,08:30,2024-04-15,absent,1
20,p11_devdat_2024_126,Gning,Seynabou,779876543,data,06:30,2024-04-15,present,5
